test_0021079|CDS|zeb1b|GCF_000523025.1|NC_024309.1|8497874|8497979|-|106	train_0769728|CDS|zeb1b|GCF_024713975.1|NC_091109.1|12299328|12299433|+|106	0.951	104	5	0	1	104	1	104	1.132E-42	165	106	106
test_0022065|CDS|LOC109641856|GCF_024713975.1|NC_091114.1|16695781|16695874|+|94	train_1110527|CDS|LOC118283763|GCF_022379125.1|NC_061526.1|6908165|6908258|-|94	0.968	94	3	0	1	94	1	94	1.595E-40	156	94	94
test_0022990|CDS|LOC109634427|GCF_024713975.1|NC_091103.1|8124837|8124910|+|74	train_0696148|CDS|LOC109645562|GCF_024713975.1|NC_091103.1|8135896|8135969|+|74	1.000	72	0	0	1	72	1	72	6.518E-33	131	74	74
test_0023717|CDS|atp8b2|GCF_022379125.1|NC_061515.1|12222033|12222116|-|84	train_0216818|CDS|atp8b2|GCF_024713975.1|NC_091105.1|10332663|10332746|+|84	0.976	84	2	0	1	84	1	84	1.540E-36	143	84	84
test_0024251|intron|LOC138412336|GCF_024713975.1|NC_091104.1|5749637|5753323|-|3687	train_0684452|intron|LOC138412182|GCF_024713975.1|NC_091104.1|2589685|2593371|-|3687	0.999	3687	4	0	1	3687	1	3687	0.000E+00	6594	3687	3687
test_0024251|intron|LOC138412336|GCF_024713975.1|NC_091104.1|5749637|5753323|-|3687	train_0575423|intron|LOC138405436|GCF_024713975.1|NC_091110.1|1271935|1275621|-|3687	0.995	3687	18	0	1	3687	1	3687	0.000E+00	6540	3687	3687
test_0024251|intron|LOC138412336|GCF_024713975.1|NC_091104.1|5749637|5753323|-|3687	train_1185148|intron|LOC138406960|GCF_024713975.1|NC_091093.1|778125|781807|-|3683	0.993	3687	26	0	1	3687	1	3683	0.000E+00	6503	3687	3683
test_0024251|intron|LOC138412336|GCF_024713975.1|NC_091104.1|5749637|5753323|-|3687	train_1178820|intron|LOC138406960|GCF_024713975.1|NC_091093.1|778125|781801|-|3677	0.993	3681	26	0	7	3687	1	3677	0.000E+00	6492	3687	3677
test_0024251|intron|LOC138412336|GCF_024713975.1|NC_091104.1|5749637|5753323|-|3687	train_0644712|lncRNA_exon|LOC138407675|GCF_024713975.1|NC_091097.1|21161560|21165815|+|4256	0.993	3466	24	0	1	3466	791	4256	0.000E+00	6117	3687	4256
test_0024845|CDS|LOC109639115|GCF_024713975.1|NC_091112.1|6033981|6034085|+|105	train_1160696|CDS|LOC118291943|GCF_022379125.1|NC_061536.1|9567096|9567200|-|105	0.961	105	4	0	1	105	1	105	4.351E-45	172	105	105
test_0025396|CDS|ube2ka|GCF_024713975.1|NC_091101.1|16407886|16407968|-|83	train_0946943|CDS|ube2ka|GCF_022379125.1|NC_061523.1|12614219|12614301|+|83	0.951	83	4	0	1	83	1	83	1.313E-32	132	83	83
test_0026115|CDS|LOC118286487|GCF_022379125.1|NC_061529.1|1337922|1338027|+|106	train_0922294|CDS|LOC118286490|GCF_022379125.1|NC_061529.1|1359220|1359325|+|106	0.990	106	1	0	1	106	1	106	1.027E-50	187	106	106
test_0026115|CDS|LOC118286487|GCF_022379125.1|NC_061529.1|1337922|1338027|+|106	train_0058325|CDS|LOC118286489|GCF_022379125.1|NC_061529.1|1172815|1172920|-|106	0.962	106	4	0	1	106	1	106	1.179E-45	174	106	106
test_0026790|CDS|btbd7|GCF_024713975.1|NC_091104.1|14912158|14912233|-|76	train_0907940|CDS|btbd7|GCF_022379125.1|NC_061529.1|11596416|11596491|-|76	0.973	76	2	0	1	76	1	76	5.345E-32	129	76	76
test_0026790|CDS|btbd7|GCF_024713975.1|NC_091104.1|14912158|14912233|-|76	train_0839038|CDS|btbd7|GCF_000523025.1|NC_024307.1|6551160|6551235|+|76	0.973	76	2	0	1	76	1	76	5.345E-32	129	76	76
test_0027689|CDS|sgk1|GCF_022379125.1|NC_061532.1|10280847|10280917|+|71	train_0107697|CDS|sgk1|GCF_024713975.1|NC_091111.1|10471987|10472062|+|76	0.971	71	2	0	1	71	6	76	3.687E-29	120	71	76
test_0033809|CDS|sp4|GCF_000523025.1|NC_024324.1|13520127|13520326|-|200	train_0798755|CDS|sp4|GCF_022379125.1|NC_061536.1|4709925|4710124|+|200	0.965	200	7	0	1	200	1	200	6.404E-94	328	200	200
test_0033809|CDS|sp4|GCF_000523025.1|NC_024324.1|13520127|13520326|-|200	train_0491730|CDS|sp4|GCF_024713975.1|NC_091112.1|11139811|11140010|-|200	0.950	200	10	0	1	200	1	200	5.328E-89	315	200	200
test_0034534|CDS|mfsd13a|GCF_024713975.1|NC_091113.1|4449936|4450032|-|97	train_0385534|CDS|mfsd13a|GCF_022379125.1|NC_061530.1|18269245|18269341|+|97	0.958	97	4	0	1	97	1	97	1.498E-40	157	97	97
test_0035335|CDS|fhdc3|GCF_024713975.1|NC_091107.1|5217833|5217940|+|108	train_0089157|CDS|fhdc3|GCF_022379125.1|NC_061516.1|22904773|22904880|-|108	0.953	108	5	0	1	108	1	108	3.981E-45	173	108	108
test_0035973|CDS|phkb|GCF_022379125.1|NC_061518.1|23296879|23296961|+|83	train_0301199|CDS|phkb|GCF_000523025.1|NC_024311.1|15336504|15336586|+|83	0.963	83	3	0	1	83	1	83	2.782E-34	137	83	83
test_0035973|CDS|phkb|GCF_022379125.1|NC_061518.1|23296879|23296961|+|83	train_0504646|CDS|phkb|GCF_024713975.1|NC_091093.1|6007944|6008026|+|83	0.951	83	4	0	1	83	1	83	1.313E-32	132	83	83
test_0036871|CDS|kif5aa|GCF_024713975.1|NC_091098.1|11208854|11208927|+|74	train_0979759|CDS|kif5aa|GCF_022379125.1|NC_061517.1|16542416|16542489|+|74	0.972	74	2	0	1	74	1	74	7.301E-31	125	74	74
test_0037636|CDS|LOC118287512|GCF_022379125.1|NC_061530.1|11759169|11759332|+|164	train_0256903|CDS|LOC118287511|GCF_022379125.1|NC_061530.1|11746098|11746261|+|164	0.975	164	4	0	1	164	1	164	1.604E-78	277	164	164
test_0037636|CDS|LOC118287512|GCF_022379125.1|NC_061530.1|11759169|11759332|+|164	train_0441389|CDS|ca15b|GCF_022379125.1|NC_061530.1|11766849|11767012|+|164	0.975	164	4	0	1	164	1	164	1.604E-78	277	164	164
test_0038339|CDS|unk|GCF_022379125.1|NC_061530.1|6600126|6600210|+|85	train_0659500|CDS|unk|GCF_024713975.1|NC_091113.1|14941388|14941472|-|85	0.988	85	1	0	1	85	1	85	8.267E-39	149	85	85
test_0038935|CDS|wdr62|GCF_022379125.1|NC_061525.1|24954825|24954936|+|112	train_1071490|CDS|wdr62|GCF_024713975.1|NC_091103.1|379664|379775|-|112	0.955	112	5	0	1	112	1	112	2.151E-47	180	112	112
test_0039466|CDS|ncanb|GCF_022379125.1|NC_061527.1|17096092|17096260|+|169	train_1032851|CDS|ncanb|GCF_024713975.1|NC_091095.1|17884191|17884359|+|169	0.952	169	8	0	1	169	1	169	9.866E-75	268	169	169
test_0040306|CDS|LOC118283936|GCF_022379125.1|NC_061524.1|23517102|23517183|-|82	train_0060639|CDS|ryr2b|GCF_024713975.1|NC_091106.1|17654722|17654803|-|82	0.951	82	4	0	1	82	1	82	4.852E-32	131	82	82
test_0023243|CDS|edem3|GCF_022379125.1|NC_061527.1|15594655|15594755|-|101	train_0234616|CDS|edem3|GCF_024713975.1|NC_091095.1|16187121|16187221|-|101	0.960	101	4	0	1	101	1	101	8.070E-43	165	101	101
test_0023950|CDS|tecrb|GCF_022379125.1|NC_061522.1|17072947|17072990|+|44	train_0540136|CDS|tecrb|GCF_024713975.1|NC_091100.1|18422386|18422429|+|44	0.977	44	1	0	1	44	1	44	1.563E-15	76	44	44
test_0024579|CDS|LOC109645075|GCF_024713975.1|NC_091113.1|15906821|15906943|+|123	train_1101074|CDS|LOC138406001|GCF_024713975.1|NC_091113.1|15915566|15915688|+|123	0.983	123	2	0	1	123	1	123	1.184E-58	213	123	123
test_0024579|CDS|LOC109645075|GCF_024713975.1|NC_091113.1|15906821|15906943|+|123	train_0948712|CDS|LOC109627161|GCF_024713975.1|NC_091113.1|16026604|16026726|+|123	0.951	123	6	0	1	123	1	123	5.644E-52	195	123	123
